,Title,Product,Category,Geography,Frequency,Reference Period,Release Date,Table No,Download URL,Data Source,Description,id,search_text
978,"Statement 4.2-Expenditure of General Government classified by function, COFOG for 2019-20 SRE",NAS,National Accounts Statistics,All India,Annual,2020-21,2022-01-31,NASAFY22029ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2022/Chapter4/S4.2_2019-20_SRE.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",978,statement 42 expenditure of general government classified by function cofog for 2019 20 sre national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
979,"Statement 4.2-Expenditure of General Government classified by function, COFOG for 2018-19 FE",NAS,National Accounts Statistics,All India,Annual,2020-21,2022-01-31,NASAFY22028ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2022/Chapter4/S4.2_2018-19_FE.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",979,statement 42 expenditure of general government classified by function cofog for 2018 19 fe national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
980,"Statement 8.17.1-Provisional Estimates of National Income and other aggregates, 2021-22",NAS,National Accounts Statistics,All India,Annual,2020-21,2022-01-31,NASAFY22075ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2022/Chapter8/S8.17.1.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",980,statement 8171 provisional estimates of national income and other aggregates 2021 22 national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
981,"Statement 8.17.2-Provisional Estimates of Gross Value Added by Economic Activity at Basic Prices, 2021-22",NAS,National Accounts Statistics,All India,Annual,2020-21,2022-01-31,NASAFY22076ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2022/Chapter8/S8.17.2.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",981,statement 8172 provisional estimates of gross value added by economic activity at basic prices 2021 22 national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
982,Annual indices and growth rates (%) of industrial production as per use-based classification upto November 2021,IIP,Industrial Statistics,All India,Monthly,Nov 2021,2022-01-12,IIPMFY22091NOV,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2021-22/IndicesIIP2011-12Monthly_annual_nov21_UBCannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,982,annual indices and growth rates % of industrial production as per use based classification upto november 2021 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
983,Monthly NIC-2 digit and sectoral indices and growth rates of industrial production upto November 2021,IIP,Industrial Statistics,All India,Monthly,Nov 2021,2022-01-12,IIPMFY22090NOV,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2021-22/IndicesIIP2011-12Monthly_annual_nov21_NIC2d_sectoralmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,983,monthly nic 2 digit and sectoral indices and growth rates of industrial production upto november 2021 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
984,Annual NIC-2 digit and sectoral indices and growth rates as per IIP (%) calculated w.r.t. previous year upto November 2021,IIP,Industrial Statistics,All India,Monthly,Nov 2021,2022-01-12,IIPMFY22089NOV,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2021-22/IndicesIIP2011-12Monthly_annual_nov21_NIC2d_sectoralannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,984,annual nic 2 digit and sectoral indices and growth rates as per iip % calculated wrt previous year upto november 2021 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
985,Monthly indices and growth rates of industrial production as per use-based classification upto November 2021,IIP,Industrial Statistics,All India,Monthly,Nov 2021,2022-01-12,IIPMFY22092NOV,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2021-22/IndicesIIP2011-12Monthly_annual_nov21_UBCmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,985,monthly indices and growth rates of industrial production as per use based classification upto november 2021 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
986,Monthly NIC-2 digit and sectoral indices and growth rates of industrial production upto October 2021,IIP,Industrial Statistics,All India,Monthly,Oct 2021,2021-12-10,IIPMFY22094OCT,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2021-22/IndicesIIP2011-12Monthly_annual_oct21_NIC2d_sectoralmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,986,monthly nic 2 digit and sectoral indices and growth rates of industrial production upto october 2021 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
987,Annual NIC-2 digit and sectoral indices and growth rates as per IIP (%) calculated w.r.t. previous year upto October 2021,IIP,Industrial Statistics,All India,Monthly,Oct 2021,2021-12-10,IIPMFY22093OCT,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2021-22/IndicesIIP2011-12Monthly_annual_oct21_NIC2d_sectoralannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,987,annual nic 2 digit and sectoral indices and growth rates as per iip % calculated wrt previous year upto october 2021 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
988,Annual indices and growth rates (%) of industrial production as per use-based classification upto October 2021,IIP,Industrial Statistics,All India,Monthly,Oct 2021,2021-12-10,IIPMFY22095OCT,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2021-22/IndicesIIP2011-12Monthly_annual_oct21_UBCannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,988,annual indices and growth rates % of industrial production as per use based classification upto october 2021 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
989,Monthly indices and growth rates of industrial production as per use-based classification upto October 2021,IIP,Industrial Statistics,All India,Monthly,Oct 2021,2021-12-10,IIPMFY22096OCT,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2021-22/IndicesIIP2011-12Monthly_annual_oct21_UBCmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,989,monthly indices and growth rates of industrial production as per use based classification upto october 2021 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
990,Annual indices and growth rates (%) of industrial production as per use-based classification upto September 2021,IIP,Industrial Statistics,All India,Monthly,Sep 2021,2021-11-12,IIPMFY22099SEP,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2021-22/IndicesIIP2011-12Monthly_annual_sep21_UBCannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,990,annual indices and growth rates % of industrial production as per use based classification upto september 2021 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
991,Monthly NIC-2 digit and sectoral indices and growth rates of industrial production upto September 2021,IIP,Industrial Statistics,All India,Monthly,Sep 2021,2021-11-12,IIPMFY22098SEP,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2021-22/IndicesIIP2011-12Monthly_annual_sep21_NIC2d_sectoralmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,991,monthly nic 2 digit and sectoral indices and growth rates of industrial production upto september 2021 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
992,Monthly indices and growth rates of industrial production as per use-based classification upto September 2021,IIP,Industrial Statistics,All India,Monthly,Sep 2021,2021-11-12,IIPMFY22100SEP,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2021-22/IndicesIIP2011-12Monthly_annual_sep21_UBCmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,992,monthly indices and growth rates of industrial production as per use based classification upto september 2021 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
993,Annual NIC-2 digit and sectoral indices and growth rates as per IIP (%) calculated w.r.t. previous year upto September 2021,IIP,Industrial Statistics,All India,Monthly,Sep 2021,2021-11-12,IIPMFY22097SEP,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2021-22/IndicesIIP2011-12Monthly_annual_sep21_NIC2d_sectoralannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,993,annual nic 2 digit and sectoral indices and growth rates as per iip % calculated wrt previous year upto september 2021 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
994,Annual NIC-2 digit and sectoral indices and growth rates as per IIP (%) calculated w.r.t. previous year upto August 2021,IIP,Industrial Statistics,All India,Monthly,Aug 2021,2021-10-12,IIPMFY22057AUG,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2021-22/IndicesIIP2011-12Monthly_annual_aug21_NIC2d_sectoralannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,994,annual nic 2 digit and sectoral indices and growth rates as per iip % calculated wrt previous year upto august 2021 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
995,Monthly indices and growth rates of industrial production as per use-based classification upto August 2021,IIP,Industrial Statistics,All India,Monthly,Aug 2021,2021-10-12,IIPMFY22060AUG,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2021-22/IndicesIIP2011-12Monthly_annual_aug21_UBCmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,995,monthly indices and growth rates of industrial production as per use based classification upto august 2021 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
996,Monthly NIC-2 digit and sectoral indices and growth rates of industrial production upto August 2021,IIP,Industrial Statistics,All India,Monthly,Aug 2021,2021-10-12,IIPMFY22058AUG,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2021-22/IndicesIIP2011-12Monthly_annual_aug21_NIC2d_sectoralmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,996,monthly nic 2 digit and sectoral indices and growth rates of industrial production upto august 2021 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
997,Annual indices and growth rates (%) of industrial production as per use-based classification upto August 2021,IIP,Industrial Statistics,All India,Monthly,Aug 2021,2021-10-12,IIPMFY22059AUG,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2021-22/IndicesIIP2011-12Monthly_annual_aug21_UBCannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,997,annual indices and growth rates % of industrial production as per use based classification upto august 2021 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
998,Monthly indices and growth rates of industrial production as per use-based classification upto July 2021,IIP,Industrial Statistics,All India,Monthly,Jul 2021,2021-09-10,IIPMFY22076JUL,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2021-22/IndicesIIP2011-12Monthly_annual_jul21_UBCmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,998,monthly indices and growth rates of industrial production as per use based classification upto july 2021 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
999,Annual indices and growth rates (%) of industrial production as per use-based classification upto July 2021,IIP,Industrial Statistics,All India,Monthly,Jul 2021,2021-09-10,IIPMFY22075JUL,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2021-22/IndicesIIP2011-12Monthly_annual_jul21_UBCannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,999,annual indices and growth rates % of industrial production as per use based classification upto july 2021 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
1000,Monthly NIC-2 digit and sectoral indices and growth rates of industrial production upto July 2021,IIP,Industrial Statistics,All India,Monthly,Jul 2021,2021-09-10,IIPMFY22074JUL,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2021-22/IndicesIIP2011-12Monthly_annual_jul21_NIC2d_sectoralmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,1000,monthly nic 2 digit and sectoral indices and growth rates of industrial production upto july 2021 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
1001,Annual NIC-2 digit and sectoral indices and growth rates as per IIP (%) calculated w.r.t. previous year upto July 2021,IIP,Industrial Statistics,All India,Monthly,Jul 2021,2021-09-10,IIPMFY22073JUL,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2021-22/IndicesIIP2011-12Monthly_annual_jul21_NIC2d_sectoralannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,1001,annual nic 2 digit and sectoral indices and growth rates as per iip % calculated wrt previous year upto july 2021 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
1002,Annual indices and growth rates (%) of industrial production as per use-based classification upto June 2021,IIP,Industrial Statistics,All India,Monthly,Jun 2021,2021-08-12,IIPMFY22079JUN,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2021-22/IndicesIIP2011-12Monthly_annual_jun21_UBCannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,1002,annual indices and growth rates % of industrial production as per use based classification upto june 2021 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
1003,Monthly indices and growth rates of industrial production as per use-based classification upto June 2021,IIP,Industrial Statistics,All India,Monthly,Jun 2021,2021-08-12,IIPMFY22080JUN,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2021-22/IndicesIIP2011-12Monthly_annual_jun21_UBCmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,1003,monthly indices and growth rates of industrial production as per use based classification upto june 2021 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
1004,Annual NIC-2 digit and sectoral indices and growth rates as per IIP (%) calculated w.r.t. previous year upto June 2021,IIP,Industrial Statistics,All India,Monthly,Jun 2021,2021-08-12,IIPMFY22077JUN,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2021-22/IndicesIIP2011-12Monthly_annual_jun21_NIC2d_sectoralannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,1004,annual nic 2 digit and sectoral indices and growth rates as per iip % calculated wrt previous year upto june 2021 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
1005,Monthly NIC-2 digit and sectoral indices and growth rates of industrial production upto June 2021,IIP,Industrial Statistics,All India,Monthly,Jun 2021,2021-08-12,IIPMFY22078JUN,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2021-22/IndicesIIP2011-12Monthly_annual_jun21_NIC2d_sectoralmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,1005,monthly nic 2 digit and sectoral indices and growth rates of industrial production upto june 2021 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
1006,Monthly indices and growth rates of industrial production as per use-based classification upto May 2021,IIP,Industrial Statistics,All India,Monthly,May 2021,2021-07-12,IIPMFY22088MAY,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2021-22/IndicesIIP2011-12Monthly_annual_may21_UBCmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,1006,monthly indices and growth rates of industrial production as per use based classification upto may 2021 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
1007,Annual indices and growth rates (%) of industrial production as per use-based classification upto May 2021,IIP,Industrial Statistics,All India,Monthly,May 2021,2021-07-12,IIPMFY22087MAY,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2021-22/IndicesIIP2011-12Monthly_annual_may21_UBCannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,1007,annual indices and growth rates % of industrial production as per use based classification upto may 2021 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
1008,Annual NIC-2 digit and sectoral indices and growth rates as per IIP (%) calculated w.r.t. previous year upto May 2021,IIP,Industrial Statistics,All India,Monthly,May 2021,2021-07-12,IIPMFY22085MAY,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2021-22/IndicesIIP2011-12Monthly_annual_may21_NIC2d_sectoralannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,1008,annual nic 2 digit and sectoral indices and growth rates as per iip % calculated wrt previous year upto may 2021 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
1009,Monthly NIC-2 digit and sectoral indices and growth rates of industrial production upto May 2021,IIP,Industrial Statistics,All India,Monthly,May 2021,2021-07-12,IIPMFY22086MAY,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2021-22/IndicesIIP2011-12Monthly_annual_may21_NIC2d_sectoralmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,1009,monthly nic 2 digit and sectoral indices and growth rates of industrial production upto may 2021 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
1010,Table (33): Percentage distribution of persons by current weekly activity for each age-group all-India rural male,PLFS,Labour Statistics,All India,Annual,July 2018- June 2019,2021-07-01,PLFAAY19027ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/2018-19/Table_33.xlsx,"Survey Design and Research Division, NSSO, MoSPI","The Periodic Labour Force Surveys have been conducted by the National Sample Survey Office (NSSO), Ministry of Statistics and Programme Implementation, since 2017. Current weekly status (CWS) of the person refers to the activity status determined on the basis of a reference period of last 7 days preceding the date of survey . In current weekly status (CWS), a person is considered 'seeking or available for work (or unemployed)' if during the reference week no economic activity was pursued by the person but he/ she made efforts to get work or had been available for work for at least one hour on any day during the reference week. Current weekly status (CWS) of the person refers to the activity status determined on the basis of a reference period of last 7 days preceding the date of survey.",1010,table 33 percentage distribution of persons by current weekly activity for each age group all india rural male the periodic labour force surveys have been conducted by the national sample survey office nsso ministry of statistics and programme implementation since 2017 current weekly status cws of the person refers to the activity status determined on the basis of a reference period of last 7 days preceding the date of survey in current weekly status cws a person is considered seeking or available for work or unemployed if during the reference week no economic activity was pursued by the person but he she made efforts to get work or had been available for work for at least one hour on any day during the reference week current weekly status cws of the person refers to the activity status determined on the basis of a reference period of last 7 days preceding the date of survey
1011,Table (21): Percentage distribution of persons by usual status (ps+ss) for each general educational level rural male age group:15-29 years,PLFS,Labour Statistics,All India,Annual,July 2018- June 2019,2021-07-01,PLFAAY19014ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/2018-19/Table_21.xlsx,"Survey Design and Research Division, NSSO, MoSPI","The Periodic Labour Force Surveys have been conducted by the National Sample Survey Office (NSSO), Ministry of Statistics and Programme Implementation, since 2017. ps(Principal activity status) of a person refers to the activity status on which a person spent relatively long time (major time criterion) during 365 days preceding the date of survey. ss (Subsidiary economic activity status) of a person refers to the the activity status in which a person in addition to his/her usual principal status, performs some economic activity for 30 days or more for the reference period of 365 days preceding the date of survey.",1011,table 21 percentage distribution of persons by usual status psss for each general educational level rural male age group15 29 years the periodic labour force surveys have been conducted by the national sample survey office nsso ministry of statistics and programme implementation since 2017 psprincipal activity status of a person refers to the activity status on which a person spent relatively long time major time criterion during 365 days preceding the date of survey ss subsidiary economic activity status of a person refers to the the activity status in which a person in addition to hisher usual principal status performs some economic activity for 30 days or more for the reference period of 365 days preceding the date of survey
1012,Monthly NIC-2 digit and sectoral indices and growth rates of industrial production upto April 2021,IIP,Industrial Statistics,All India,Monthly,Apr 2021,2021-06-11,IIPMFY22054APR,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2021-22/IndicesIIP2011-12Monthly_annual_apr21_NIC2d_sectoralmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,1012,monthly nic 2 digit and sectoral indices and growth rates of industrial production upto april 2021 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
